filename,label,area,equivalent_diameter,centroid-0,centroid-1,area_sqmicron,eq_diam_micron
2.tif,1,879508.0,1058.2175416760647,502.0784370352515,520.4348635828213,35180.32,211.64350833521294
2.tif,2,8.0,3.1915382432114616,32.5,489.5,0.32,0.6383076486422923
2.tif,3,8.0,3.1915382432114616,36.5,489.5,0.32,0.6383076486422923
2.tif,4,4.0,2.256758334191025,38.5,494.5,0.16,0.45135166683820505
2.tif,5,76.0,9.83698151873187,109.02631578947368,222.92105263157896,3.04,1.967396303746374
2.tif,6,20.0,5.046265044040321,121.3,940.1,0.8,1.0092530088080642
2.tif,7,4.0,2.256758334191025,124.5,572.5,0.16,0.45135166683820505
2.tif,8,4.0,2.256758334191025,136.5,460.5,0.16,0.45135166683820505
2.tif,9,4.0,2.256758334191025,184.5,516.5,0.16,0.45135166683820505
2.tif,10,28.0,5.970821321441846,201.64285714285714,781.9285714285714,1.12,1.1941642642883692
2.tif,11,96.0,11.055812783082736,210.25,909.0,3.84,2.2111625566165474
2.tif,12,8.0,3.1915382432114616,201.5,314.5,0.32,0.6383076486422923
2.tif,13,12.0,3.9088200952233594,209.16666666666666,75.16666666666667,0.48,0.7817640190446719
2.tif,14,4.0,2.256758334191025,212.5,890.5,0.16,0.45135166683820505
2.tif,15,4.0,2.256758334191025,228.5,990.5,0.16,0.45135166683820505
2.tif,16,80.0,10.092530088080641,256.3,204.4,3.2,2.0185060176161285
2.tif,17,4.0,2.256758334191025,308.5,738.5,0.16,0.45135166683820505
2.tif,18,20.0,5.046265044040321,322.9,577.7,0.8,1.0092530088080642
2.tif,19,4.0,2.256758334191025,350.5,704.5,0.16,0.45135166683820505
2.tif,20,4.0,2.256758334191025,362.5,404.5,0.16,0.45135166683820505
2.tif,21,12.0,3.9088200952233594,372.5,892.5,0.48,0.7817640190446719
2.tif,22,28.0,5.970821321441846,380.2142857142857,891.9285714285714,1.12,1.1941642642883692
2.tif,23,4.0,2.256758334191025,382.5,70.5,0.16,0.45135166683820505
2.tif,24,4.0,2.256758334191025,392.5,258.5,0.16,0.45135166683820505
2.tif,25,8.0,3.1915382432114616,393.5,338.5,0.32,0.6383076486422923
2.tif,26,40.0,7.136496464611085,402.1,794.7,1.6,1.427299292922217
2.tif,27,4.0,2.256758334191025,422.5,320.5,0.16,0.45135166683820505
2.tif,28,36.0,6.770275002573076,444.5,760.5,1.44,1.3540550005146152
2.tif,29,4.0,2.256758334191025,452.5,316.5,0.16,0.45135166683820505
2.tif,30,24.0,5.527906391541368,464.1666666666667,2.1666666666666665,0.96,1.1055812783082737
2.tif,31,4.0,2.256758334191025,464.5,468.5,0.16,0.45135166683820505
2.tif,32,4.0,2.256758334191025,580.5,162.5,0.16,0.45135166683820505
2.tif,33,20.0,5.046265044040321,618.9,535.3,0.8,1.0092530088080642
2.tif,34,8.0,3.1915382432114616,625.5,28.5,0.32,0.6383076486422923
2.tif,35,20.0,5.046265044040321,640.5,315.3,0.8,1.0092530088080642
2.tif,36,4.0,2.256758334191025,656.5,234.5,0.16,0.45135166683820505
2.tif,37,4.0,2.256758334191025,670.5,40.5,0.16,0.45135166683820505
2.tif,38,28.0,5.970821321441846,694.7857142857143,200.5,1.12,1.1941642642883692
2.tif,39,4.0,2.256758334191025,696.5,856.5,0.16,0.45135166683820505
2.tif,40,52.0,8.136857890256438,747.5769230769231,711.5769230769231,2.08,1.6273715780512876
2.tif,41,4.0,2.256758334191025,744.5,284.5,0.16,0.45135166683820505
2.tif,42,8.0,3.1915382432114616,757.5,610.5,0.32,0.6383076486422923
2.tif,43,8.0,3.1915382432114616,765.5,222.5,0.32,0.6383076486422923
2.tif,44,4.0,2.256758334191025,778.5,934.5,0.16,0.45135166683820505
2.tif,45,4.0,2.256758334191025,788.5,998.5,0.16,0.45135166683820505
2.tif,46,36.0,6.770275002573076,816.5,782.5,1.44,1.3540550005146152
2.tif,47,4.0,2.256758334191025,848.5,44.5,0.16,0.45135166683820505
2.tif,48,12.0,3.9088200952233594,867.8333333333334,655.8333333333334,0.48,0.7817640190446719
2.tif,49,60.0,8.740387444736633,891.4333333333333,154.76666666666668,2.4,1.7480774889473267
2.tif,50,12.0,3.9088200952233594,895.1666666666666,161.83333333333334,0.48,0.7817640190446719
2.tif,51,32.0,6.383076486422923,898.25,146.25,1.28,1.2766152972845846
2.tif,52,4.0,2.256758334191025,912.5,140.5,0.16,0.45135166683820505
2.tif,53,4.0,2.256758334191025,912.5,180.5,0.16,0.45135166683820505
2.tif,54,20.0,5.046265044040321,914.1,941.7,0.8,1.0092530088080642
2.tif,55,124.0,12.565098628628435,921.6612903225806,157.98387096774192,4.96,2.513019725725687
2.tif,56,24.0,5.527906391541368,922.8333333333334,578.8333333333334,0.96,1.1055812783082737
2.tif,57,8.0,3.1915382432114616,945.5,166.5,0.32,0.6383076486422923
2.tif,58,4.0,2.256758334191025,944.5,1010.5,0.16,0.45135166683820505
2.tif,59,4.0,2.256758334191025,946.5,466.5,0.16,0.45135166683820505
2.tif,60,4.0,2.256758334191025,980.5,762.5,0.16,0.45135166683820505
2.tif,61,20.0,5.046265044040321,1022.1,819.3,0.8,1.0092530088080642
