filename,label,area,equivalent_diameter,centroid-0,centroid-1,area_sqmicron,eq_diam_micron
p3 mglin 1µM.tif,1,837660.0,1032.7351243386934,499.4647255449705,503.78713797960984,33506.4,206.54702486773868
p3 mglin 1µM.tif,2,20.0,5.046265044040321,4.1,749.3,0.8,1.0092530088080642
p3 mglin 1µM.tif,3,4.0,2.256758334191025,24.5,460.5,0.16,0.45135166683820505
p3 mglin 1µM.tif,4,8.0,3.1915382432114616,37.5,654.5,0.32,0.6383076486422923
p3 mglin 1µM.tif,5,52.0,8.136857890256438,43.73076923076923,637.7307692307693,2.08,1.6273715780512876
p3 mglin 1µM.tif,6,4.0,2.256758334191025,42.5,568.5,0.16,0.45135166683820505
p3 mglin 1µM.tif,7,8.0,3.1915382432114616,66.5,703.5,0.32,0.6383076486422923
p3 mglin 1µM.tif,8,4.0,2.256758334191025,80.5,280.5,0.16,0.45135166683820505
p3 mglin 1µM.tif,9,12.0,3.9088200952233594,96.5,42.5,0.48,0.7817640190446719
p3 mglin 1µM.tif,10,20.0,5.046265044040321,108.1,1021.3,0.8,1.0092530088080642
p3 mglin 1µM.tif,11,4.0,2.256758334191025,108.5,1008.5,0.16,0.45135166683820505
p3 mglin 1µM.tif,12,36.0,6.770275002573076,116.5,264.5,1.44,1.3540550005146152
p3 mglin 1µM.tif,13,4.0,2.256758334191025,114.5,990.5,0.16,0.45135166683820505
p3 mglin 1µM.tif,14,36.0,6.770275002573076,129.38888888888889,1021.1666666666666,1.44,1.3540550005146152
p3 mglin 1µM.tif,15,4.0,2.256758334191025,138.5,216.5,0.16,0.45135166683820505
p3 mglin 1µM.tif,16,8.0,3.1915382432114616,145.5,698.5,0.32,0.6383076486422923
p3 mglin 1µM.tif,17,8.0,3.1915382432114616,150.5,951.5,0.32,0.6383076486422923
p3 mglin 1µM.tif,18,12.0,3.9088200952233594,166.5,482.5,0.48,0.7817640190446719
p3 mglin 1µM.tif,19,4.0,2.256758334191025,174.5,554.5,0.16,0.45135166683820505
p3 mglin 1µM.tif,20,4.0,2.256758334191025,180.5,384.5,0.16,0.45135166683820505
p3 mglin 1µM.tif,21,28.0,5.970821321441846,192.21428571428572,819.9285714285714,1.12,1.1941642642883692
p3 mglin 1µM.tif,22,4.0,2.256758334191025,204.5,334.5,0.16,0.45135166683820505
p3 mglin 1µM.tif,23,4.0,2.256758334191025,216.5,410.5,0.16,0.45135166683820505
p3 mglin 1µM.tif,24,4.0,2.256758334191025,228.5,806.5,0.16,0.45135166683820505
p3 mglin 1µM.tif,25,4.0,2.256758334191025,250.5,170.5,0.16,0.45135166683820505
p3 mglin 1µM.tif,26,4.0,2.256758334191025,260.5,146.5,0.16,0.45135166683820505
p3 mglin 1µM.tif,27,8.0,3.1915382432114616,262.5,611.5,0.32,0.6383076486422923
p3 mglin 1µM.tif,28,4.0,2.256758334191025,262.5,722.5,0.16,0.45135166683820505
p3 mglin 1µM.tif,29,24.0,5.527906391541368,281.8333333333333,201.83333333333334,0.96,1.1055812783082737
p3 mglin 1µM.tif,30,4.0,2.256758334191025,280.5,808.5,0.16,0.45135166683820505
p3 mglin 1µM.tif,31,4.0,2.256758334191025,292.5,1002.5,0.16,0.45135166683820505
p3 mglin 1µM.tif,32,4.0,2.256758334191025,294.5,232.5,0.16,0.45135166683820505
p3 mglin 1µM.tif,33,4.0,2.256758334191025,300.5,498.5,0.16,0.45135166683820505
p3 mglin 1µM.tif,34,4.0,2.256758334191025,312.5,424.5,0.16,0.45135166683820505
p3 mglin 1µM.tif,35,4.0,2.256758334191025,320.5,884.5,0.16,0.45135166683820505
p3 mglin 1µM.tif,36,4.0,2.256758334191025,326.5,154.5,0.16,0.45135166683820505
p3 mglin 1µM.tif,37,4.0,2.256758334191025,338.5,800.5,0.16,0.45135166683820505
p3 mglin 1µM.tif,38,4.0,2.256758334191025,346.5,390.5,0.16,0.45135166683820505
p3 mglin 1µM.tif,39,8.0,3.1915382432114616,376.5,109.5,0.32,0.6383076486422923
p3 mglin 1µM.tif,40,4.0,2.256758334191025,376.5,140.5,0.16,0.45135166683820505
p3 mglin 1µM.tif,41,24.0,5.527906391541368,386.1666666666667,934.8333333333334,0.96,1.1055812783082737
p3 mglin 1µM.tif,42,4.0,2.256758334191025,390.5,10.5,0.16,0.45135166683820505
p3 mglin 1µM.tif,43,4.0,2.256758334191025,416.5,4.5,0.16,0.45135166683820505
p3 mglin 1µM.tif,44,36.0,6.770275002573076,418.5,412.5,1.44,1.3540550005146152
p3 mglin 1µM.tif,45,4.0,2.256758334191025,452.5,4.5,0.16,0.45135166683820505
